"Name","Count","ContUpdate","MaxDeltaMin","Verdict"
"70517, 126309_focusCurve.txt","2","0","-612088","Write-once"
"70517, 132609_focusCurve.txt","3","0","-662191","Write-once"
"70517, 164109_focusCurve.txt","3","0","-662191","Write-once"
"70517, 189309_focusCurve.txt","2","0","-612088","Write-once"
"70517, 227109_focusCurve.txt","2","0","-612087","Write-once"
"76817,  50709_focusCurve.txt","2","0","-612087","Write-once"
"76817,  75909_focusCurve.txt","2","0","-612087","Write-once"
"76817, 189309_focusCurve.txt","3","0","-662191","Write-once"
"83117,  31809_focusCurve.txt","3","0","-662191","Write-once"
"83117,  63309_focusCurve.txt","3","0","-662191","Write-once"
"83117, 101109_focusCurve.txt","2","0","-612088","Write-once"
"83117, 107409_focusCurve.txt","3","0","-662191","Write-once"
"83117, 214509_focusCurve.txt","2","0","-612088","Write-once"
"83117, 277509_focusCurve.txt","3","0","-662191","Write-once"
"89417, 151509_focusCurve.txt","2","0","-612088","Write-once"
"89417, 252309_focusCurve.txt","5","0","-612087","Write-once"
"89417, 271209_focusCurve.txt","2","0","-612087","Write-once"
"95717, 126309_focusCurve.txt","2","0","-612088","Write-once"
"95717, 151509_focusCurve.txt","3","0","-662191","Write-once"
"95717, 183009_focusCurve.txt","3","0","-612088","Write-once"
"95717, 214509_focusCurve.txt","3","0","-662191","Write-once"
"Alignment_PatFindRtp.txt","40","0","0","Write-once"
"Alignment_PatRes.txt","40","0","0","Write-once"
"Alignment_Stat.txt","40","0","0","Write-once"
"Alignment.ini","42","1","31950","Mixed"
"AlignmentData.ini","76","0","0","Write-once"
"AlignmentNotFound_rtp.txt","8","0","-48657","Write-once"
"AlignmentStatisticsTime.txt","40","0","0","Write-once"
"AlignRtp.ini","42","1","16635","Mixed"
"AQL.ini","13","0","-14212","Write-once"
"Bright-10um.ini","12","0","-662405","Write-once"
"Bright-3_5um.ini","18","0","-662405","Write-once"
"Bright-5um.ini","12","0","-662405","Write-once"
"Bumps.dat","3","0","-631954","Write-once"
"bumps.ini","2","0","-631954","Write-once"
"CadReferenceMetaData.xml","2","0","-48659","Write-once"
"CadSegmentCleanReference.json","1","0","-74920","Write-once"
"CadtoJobRecipe.xml","4","0","-48660","Write-once"
"CCS bump.ini","1","0","-649532","Write-once"
"CcsLocalMeas.ini","19","0","-15577","Write-once"
"CcsSetup.xml","1","0","-17029","Write-once"
"CleanReferenceConfiguration.ini","4","0","-17089","Write-once"
"CleanReferenceFinalParams.ini","41","0","-15572","Write-once"
"config.ini","40","1","16635","Mixed"
"CreateReference3dOptions.ini","42","0","0","Write-once"
"CTWRepeatabilityReport.xml","6","0","-2841058","Write-once"
"CurrWaferSurfaceInterpolation.ini","14","0","-588132","Write-once"
"CurrWaferSurfaceInterpolation.md","17","0","-588136","Write-once"
"Dark-10um.ini","12","0","-662405","Write-once"
"Dark-3_5um.ini","18","0","-662405","Write-once"
"Dark-5um.ini","18","0","-662405","Write-once"
"DefaultAlign.ini","1","0","-9362977","Write-once"
"DefaultWafer2Table.ini","49","0","-15572","Write-once"
"DefaultWaferSurfaceInterpolation.ini","5","0","-588136","Write-once"
"DefaultWaferSurfaceInterpolation.md","8","0","-588136","Write-once"
"DefectsClustering.ini","25","1","60906","Mixed"
"DiceInCad.xml","2","0","-48660","Write-once"
"DiceInstances.xml","4","0","-48659","Write-once"
"Die.ini","42","0","-15574","Write-once"
"DieAlignment.dat_block.ini","57","1","16636","Mixed"
"DieImageToTable.ini","37","0","-15576","Write-once"
"DieMapAlignRes.dat_block.ini","17","0","-15572","Write-once"
"DieMapping.txt","1","0","-9362977","Write-once"
"DieMapRegPos.txt","71","0","-15573","Write-once"
"DieOffset.txt","1","0","-9362977","Write-once"
"DieReferenceLocation.json","5","0","-17029","Write-once"
"DieRefToTrain.txt","37","0","-15574","Write-once"
"DieRegPos.txt","124","0","-17327","Write-once"
"DieRegPosInCad.txt","58","0","-48659","Write-once"
"EBR1.ini","1","0","-630538","Write-once"
"EBR2.ini","1","0","-630538","Write-once"
"EBRInspectionParameters.xml","1","0","-630542","Write-once"
"edge.ini","1","0","-630538","Write-once"
"ExternalCoordSystems.ini","42","0","-15577","Write-once"
"FocusMapping.ini","27","1","29","Mixed"
"FocusMappingDebug_AllMags.txt","1","0","-588132","Write-once"
"FocusMappingDebug_Default.txt","3","0","-611979","Write-once"
"FocusMappingDebug_x5.txt","6","0","-612087","Write-once"
"FocusModel.ini","6","0","-588136","Write-once"
"FocusPointsForScan.xml","6","0","-588136","Write-once"
"FrameToChuck.ini","37","0","-15576","Write-once"
"GlobalRTP.ini","39","0","-14208","Write-once"
"ImageProcessing.log","19","0","-15573","Write-once"
"Job.dat","19","0","-4444602","Write-once"
"JobIllumLimits.ini","27","1","82124","Mixed"
"manifest.json","24","0","1","Write-once"
"ManualMasking.xml","1","0","-630542","Write-once"
"ManualScannedSites.xml","3","0","-631951","Write-once"
"Metadata.ini","86","2","17214","Mixed"
"MultiLightChannels.ini","1","0","-1305921","Write-once"
"MultiRecipe.ini","25","1","62038","Mixed"
"OpticPreset.ini","41","2","16145","Mixed"
"OpticsPreset.ini","50","2","37558","Mixed"
"OpticToVCamStorage.json","25","1","6869","Mixed"
"Overlay_OVL1.ini","1","0","-392618","Write-once"
"Overlay_OVL2.ini","1","0","-392618","Write-once"
"OverlayScan.ini","11","0","-15577","Write-once"
"Pad.ini","1","1","3833","Continuously updated"
"Params_AlignRTP.ini","19","0","-15573","Write-once"
"Params_SystemInfo.ini","19","0","-15573","Write-once"
"Params_WaferInfo.ini","19","0","-15573","Write-once"
"PostProcess.ini","42","0","-14208","Write-once"
"Prob.ini","1","0","-588249","Write-once"
"ProductInfo.ini","42","4","89082","Mixed"
"ProductionInfo.ini","22","1","62060","Mixed"
"RDL.ini","1","0","-588249","Write-once"
"Recipe.ini","42","3","31947","Mixed"
"RecipeScanRestriction.ini","1","0","-996236","Write-once"
"RecipesInfo.ini","4","0","-662012","Write-once"
"ReferencesInfo.json","11","0","0","Write-once"
"RTP.txt","39","0","-14208","Write-once"
"s_Bumps.dat.md","3","0","-414714","Write-once"
"s_FrameData.dat.md","6","0","-15572","Write-once"
"s_Height.dat.md","3","0","-414714","Write-once"
"s_Prob.dat.md","3","0","-414714","Write-once"
"SamplingMetrology.ini","13","0","-15577","Write-once"
"Scan Area.ini","38","0","-14208","Write-once"
"ScanArea.ini","4","0","-48649","Write-once"
"ScanAreaVectorInfo.csv","1","0","-48650","Write-once"
"ScanCondition.ini","8","0","-17312","Write-once"
"ScanCTS_1.xml","3","0","-631951","Write-once"
"ScanOverlapLog.txt","41","1","16635","Mixed"
"ScanOverlapLog3d.txt","1","0","-512663","Write-once"
