"FullPath","Ext","SizeBytes","LastModified","Created","First120","DeltaMin"
"C:\job\ValidationJob\300mm\Recipes\AllMags\DebugAFMapping\FocusMappingDebug_AllMags.txt",".txt","6996","2025-03-18 11:57","2026-04-30 22:08","Id  ,   ,Match Score,AF Score,Final Score,     dZ, Range,Zchuck0, Zchuck, Zstage0,  Zstage, Wafer X, Wafer Y, Chuck X, C","-588132"
"C:\job\ValidationJob\300mm\Recipes\AllMags\FocusMapping\FocusMapping.ini",".ini","2363","2026-04-30 22:38","2026-04-30 22:08","[Mode] AutoFocusRange=100 CreateSurfaceScore=Good MinMatchModelScore=Good DurationOfOneSite=3 NumOfDiceToScan=50 Resolut","29"
"C:\job\ValidationJob\300mm\Recipes\AllMags\FocusMapping\FocusPointsForScan.xml",".xml","8675","2025-03-18 11:53","2026-04-30 22:08","<FocusPointsCollection VersionNumber=""0.0"" FocusPointsCount=""50"" ModelsStamp=""0-F519C9E028DCB93E2DAF076383ADC91B"">   <Fo","-588136"
"C:\job\ValidationJob\300mm\Recipes\AllMags\FocusMapping\Model_37d9cf47-950c-4c44-a2db-dd44fd15275d\FocusModel.ini",".ini","277","2025-03-18 11:53","2026-04-30 22:08","[General] Offset=0 ModelIndex=0 Enabled=1 DisplayName=Model0 Id=5b4574f3-915e-4f08-8388-142bbc5df218 Version=1 ModelType","-588136"
"C:\job\ValidationJob\300mm\Recipes\AllMags\OpticLightMetadata\config.ini",".ini","550","2026-05-12 11:24","2026-04-30 22:08","[General] NominalDelta=0.000000000 Exist=0 targetPos_X=0.000000000 targetPos_Y=0.000000000 minY=0.000000000 minX=1953215","16635"
"C:\job\ValidationJob\300mm\Recipes\AllMags\ReferenceBackup\ZoomLevels.ini",".ini","210","2025-03-18 09:38","2026-04-30 22:08","[ZOOM_LEVELS] LEVEL_1=1 SaveCompressed=0 LEVEL_2=1 LEVEL_4=1 [LEVEL_1] SizeX=2249 SizeY=2775 [LEVEL_2] SizeX=1124 SizeY=","-588270"
"C:\job\ValidationJob\300mm\Recipes\AllMags\SW_QA-3\OpticsPreset.ini",".ini","115","2025-03-18 09:38","2026-04-30 22:08","[RobotSetup] Name=Bare_12_8_ThroughBeam.cfg [Chuck] CenterX=157255.09375 CenterY=139748.59375 CenterZ=-415.7 ","-588270"
"C:\job\ValidationJob\300mm\Recipes\AllMags\TrainData\Die.ini",".ini","1120","2025-03-18 09:38","2026-04-30 22:08","[DIE] PixelSize_X=3.40661938106452 PixelSize_Y=3.40661938106452 FrameSizeX=1280 FrameSizeY=1280 Step_X=7832 Step_Y=9585 ","-588270"
"C:\job\ValidationJob\300mm\Recipes\AllMags\TrainData\DieRefToTrain.txt",".txt","277","2025-03-18 09:38","2026-04-30 22:08","[DieRefToTrainImage] DR_2_TI_X=0.999999883782547 -0.000482115019811686 1067.46910557971 DR_2_TI_Y=0.000482115019811686 0","-588271"
"C:\job\ValidationJob\300mm\Recipes\AllMags\TrainData\FrameToChuck.ini",".ini","160","2025-03-18 09:37","2026-04-30 22:08","[FrameToChuck] F2C_X=          3.4066193522        -0.0004435727     -2179.9524988907 F2C_Y=          0.0004435727      ","-588271"
"C:\job\ValidationJob\300mm\Recipes\AllMags\TrainData\ZonesVectorInfo.csv",".csv","373","2025-03-18 09:57","2026-04-30 22:08","ID,zone,X,Y,SizeX,SizeY,ShapeType,Angle,Is3d 1,Solder,1931.55318906358,3462.82860085208,3842.66666184078,2183.6430232623","-588251"
